index,time_range,text
421,"00:18:02,799 --> 00:18:06,320",set for regression so especially for
422,"00:18:04,799 --> 00:18:08,760",regression you can see a very clear
423,"00:18:06,320 --> 00:18:10,480",effect here that now the smaller you set
424,"00:18:08,760 --> 00:18:13,480",Min node size you could even set this to
425,"00:18:10,480 --> 00:18:15,280",one the better this works this exactly
426,"00:18:13,480 --> 00:18:17,880",like what I said for classification you
427,"00:18:15,280 --> 00:18:19,640",set this to an even lower value and for
428,"00:18:17,880 --> 00:18:22,240",even here on the spam data set it works
429,"00:18:19,640 --> 00:18:24,240",better if you choose smaller values but
430,"00:18:22,240 --> 00:18:26,720",sometimes can be okay to to constrain
431,"00:18:24,240 --> 00:18:29,760",this a little bit there are also other
432,"00:18:26,720 --> 00:18:32,039",parameters to restrict the depth for
433,"00:18:29,760 --> 00:18:33,960",example the max depth parameter so you
434,"00:18:32,039 --> 00:18:37,039",can just prescribe a value so I don't
435,"00:18:33,960 --> 00:18:39,799",want trees which have more than 100
436,"00:18:37,039 --> 00:18:42,320",terminal nodes or which don't grow over
437,"00:18:39,799 --> 00:18:44,760",more than eight levels or whatever
438,"00:18:42,320 --> 00:18:46,440",usually we don't use that too often so
439,"00:18:44,760 --> 00:18:48,919",in this Ranger package here which is a
440,"00:18:46,440 --> 00:18:50,760",very efficient uh implementation of the
441,"00:18:48,919 --> 00:18:52,280",random forest in C++ and which is
442,"00:18:50,760 --> 00:18:53,960",connected to R in Python so that's
443,"00:18:52,280 --> 00:18:55,799",usually not restricted at all and there
444,"00:18:53,960 --> 00:18:57,520",are also alternative H perameters to
445,"00:18:55,799 --> 00:19:00,679",control the depth of the tree you have
446,"00:18:57,520 --> 00:19:03,919",seen them before and we studied decision
447,"00:19:00,679 --> 00:19:06,440",trees specifically like minimal risk
448,"00:19:03,919 --> 00:19:08,840",reduction to actually require from a
449,"00:19:06,440 --> 00:19:13,679",split from the optimal split to really
450,"00:19:08,840 --> 00:19:13,679",perform this size of termal nodes and so
451,"00:19:14,000 --> 00:19:18,919",on here's a further important kind of
452,"00:19:16,520 --> 00:19:21,039",special hyper parameter onor size so I
453,"00:19:18,919 --> 00:19:23,440",discussed this already a little bit so
454,"00:19:21,039 --> 00:19:25,440",usually random Forest perform better if
455,"00:19:23,440 --> 00:19:27,520",the ooral size is quite large so there
456,"00:19:25,440 --> 00:19:30,120",are sometimes people that for
457,"00:19:27,520 --> 00:19:32,400",computational reasons mainly construct
458,"00:19:30,120 --> 00:19:33,960",smaller ensembles I guess very often
459,"00:19:32,400 --> 00:19:36,480",also if you do bagging on top of new
460,"00:19:33,960 --> 00:19:39,280",networks but sometimes also people run I
461,"00:19:36,480 --> 00:19:41,799",don't know decision tree ensembles of
462,"00:19:39,280 --> 00:19:43,400",smaller size but very often performance
463,"00:19:41,799 --> 00:19:46,200",of the random force is better if the
464,"00:19:43,400 --> 00:19:48,480",Ensemble is large of course this also
465,"00:19:46,200 --> 00:19:52,039",increases computational costs but we can
466,"00:19:48,480 --> 00:19:54,559",fit trees quite efficiently nowadays
467,"00:19:52,039 --> 00:19:56,159",even on larger data so that is not super
468,"00:19:54,559 --> 00:19:59,039",restrictive if your data is not
469,"00:19:56,159 --> 00:20:00,440",extremely large but also if if you make
470,"00:19:59,039 --> 00:20:03,679",your Ensemble larger and larger and
471,"00:20:00,440 --> 00:20:05,440",larger yeah that might increase the
472,"00:20:03,679 --> 00:20:07,520",performance of The
473,"00:20:05,440 --> 00:20:09,039",Ensemble yeah more and more and more to
474,"00:20:07,520 --> 00:20:10,840",a certain degree but usually at some
475,"00:20:09,039 --> 00:20:13,559",point we Flatline yeah and they are only
476,"00:20:10,840 --> 00:20:16,679",diminishing returns for this increased
477,"00:20:13,559 --> 00:20:19,080",computational cost usually setting theal
478,"00:20:16,679 --> 00:20:21,240",size to something like 100 or to 500
479,"00:20:19,080 --> 00:20:23,559",that's usually a sensible default but we
480,"00:20:21,240 --> 00:20:26,520",can also inspect something like the
481,"00:20:23,559 --> 00:20:29,039",development of our production error when
482,"00:20:26,520 --> 00:20:31,440",we vary the number of trees and there
483,"00:20:29,039 --> 00:20:33,679",are some smarter techniques how to do
484,"00:20:31,440 --> 00:20:35,720",that instead of just running a naive
485,"00:20:33,679 --> 00:20:38,200",cross validation which is what I did
486,"00:20:35,720 --> 00:20:40,679",here because we haven't discussed the
487,"00:20:38,200 --> 00:20:43,440",so-called outof back error estimation of
488,"00:20:40,679 --> 00:20:45,080",the random Forest but we'll look at that
489,"00:20:43,440 --> 00:20:48,200",I'm pretty sure exactly in the next
490,"00:20:45,080 --> 00:20:51,039",session after this one here okay here's
491,"00:20:48,200 --> 00:20:53,640",some visualization of how our response
492,"00:20:51,039 --> 00:20:57,000",surface changes when we average over
493,"00:20:53,640 --> 00:20:59,039",more and more trees so here you can see
494,"00:20:57,000 --> 00:21:00,880",if what what happens on the the iris
495,"00:20:59,039 --> 00:21:05,159",data set if I just visualize that for
496,"00:21:00,880 --> 00:21:08,159",two two features and I'm just using one
497,"00:21:05,159 --> 00:21:10,480",single tree and because I'm expanding
498,"00:21:08,159 --> 00:21:12,799",the tree yeah nearly maximally you can
499,"00:21:10,480 --> 00:21:15,279",also see that the resulting model it
500,"00:21:12,799 --> 00:21:17,200",doesn't look fairly nice it looks I
501,"00:21:15,279 --> 00:21:19,919",would actually say quite overfitted and
502,"00:21:17,200 --> 00:21:22,000",yeah also somewhat unstable if you run
503,"00:21:19,919 --> 00:21:23,720",that again maybe with a different I
504,"00:21:22,000 --> 00:21:25,600",shouldn't say seed because the decision
505,"00:21:23,720 --> 00:21:27,120",tree algorithm is actually deterministic
506,"00:21:25,600 --> 00:21:29,520",but yeah maybe I would bootstrap the
507,"00:21:27,120 --> 00:21:31,360",data a little bit I would wiggle around
508,"00:21:29,520 --> 00:21:33,279",the data a little bit the tree might
509,"00:21:31,360 --> 00:21:36,400",look somewhat different and now what
510,"00:21:33,279 --> 00:21:38,840",happens if we use two sorry 10 trees
511,"00:21:36,400 --> 00:21:42,039",yeah we see the response surface becomes
512,"00:21:38,840 --> 00:21:44,559",smoother and here is 500 trees so that
513,"00:21:42,039 --> 00:21:46,799",would be the default in most of the
514,"00:21:44,559 --> 00:21:47,760",implementations I know in R you can see
515,"00:21:46,799 --> 00:21:48,960",something else which is quite
516,"00:21:47,760 --> 00:21:52,279",interesting right you can see the
517,"00:21:48,960 --> 00:21:54,159",decision boundaries between classes so
518,"00:21:52,279 --> 00:21:56,520",they have become I would say fairly
519,"00:21:54,159 --> 00:21:59,919",smooth fairly appropriate you can also
520,"00:21:56,520 --> 00:22:01,840",see how the underlying surface of the
521,"00:21:59,919 --> 00:22:03,799",probabilistic classifier looks like yes
522,"00:22:01,840 --> 00:22:06,600",I'm trying to show this again through
523,"00:22:03,799 --> 00:22:10,240",this Alpha blending here so colors
524,"00:22:06,600 --> 00:22:13,200",become yeah more more Blended towards
525,"00:22:10,240 --> 00:22:15,600",towards White if the probability
526,"00:22:13,200 --> 00:22:17,799",distribution becomes less crisp less
527,"00:22:15,600 --> 00:22:19,600",clear and it's not so clear which class
528,"00:22:17,799 --> 00:22:23,039",we would predict and especially if you
529,"00:22:19,600 --> 00:22:24,919",compare this here with the first single
530,"00:22:23,039 --> 00:22:26,919",decision tree you can see and you should
531,"00:22:24,919 --> 00:22:29,480",know this by now that decision trees can
532,"00:22:26,919 --> 00:22:32,320",only perform these axis
533,"00:22:29,480 --> 00:22:34,159",Peril splits we can do a bunch of these
534,"00:22:32,320 --> 00:22:36,640",but in order to get something like a
535,"00:22:34,159 --> 00:22:38,279",decision boundary which is more or less
536,"00:22:36,640 --> 00:22:40,600",something like a diagonal line here
537,"00:22:38,279 --> 00:22:43,120",between these two classes between and I
538,"00:22:40,600 --> 00:22:44,799",guess the green one is V colore that's
539,"00:22:43,120 --> 00:22:46,640",not so easy to produce with a single
540,"00:22:44,799 --> 00:22:48,000",tree with the random Forest we're
541,"00:22:46,640 --> 00:22:50,159",actually getting pretty close to that
542,"00:22:48,000 --> 00:22:52,000",because we're averaging out over so many
543,"00:22:50,159 --> 00:22:54,159",of these I don't know step functions
544,"00:22:52,000 --> 00:22:56,240",from the individual trees there has been
545,"00:22:54,159 --> 00:22:57,960",a certain discussion in the literature
546,"00:22:56,240 --> 00:22:59,960",whether random Forest can actually
547,"00:22:57,960 --> 00:23:03,600",overfit and sometimes that's I would say
548,"00:22:59,960 --> 00:23:06,480",a bit misquoted the discussion so so
549,"00:23:03,600 --> 00:23:08,520",bman also began discussing that and
550,"00:23:06,480 --> 00:23:10,279",thinking about that and sometimes this
551,"00:23:08,520 --> 00:23:13,559",is reported as random Force can't
552,"00:23:10,279 --> 00:23:16,760",overfit that really is wrong um so
553,"00:23:13,559 --> 00:23:20,000",Random Force really can overfit as can
554,"00:23:16,760 --> 00:23:22,559",any machine learning model so what we
555,"00:23:20,000 --> 00:23:25,080",actually mean sometimes by these by this
556,"00:23:22,559 --> 00:23:27,360",statement random Forest cannot overfit
557,"00:23:25,080 --> 00:23:30,159",which we probably should not phrase
558,"00:23:27,360 --> 00:23:32,039",exactly like that is that a they are
559,"00:23:30,159 --> 00:23:34,919",less prone to overfitting than
560,"00:23:32,039 --> 00:23:36,720",individual decision trees and that
561,"00:23:34,919 --> 00:23:39,200",that's because this randomization of the
562,"00:23:36,720 --> 00:23:41,080",trees and the resulting averaging helps
563,"00:23:39,200 --> 00:23:44,840",the other thing what we usually want to
564,"00:23:41,080 --> 00:23:47,880",say is that they can overfit but usually
565,"00:23:44,840 --> 00:23:51,039",what does not happen is if we run the
566,"00:23:47,880 --> 00:23:53,080",algorithm for a longer and longer time
567,"00:23:51,039 --> 00:23:56,039",and by that we would mean we increase or
568,"00:23:53,080 --> 00:23:59,880",Som size more and more and more than
569,"00:23:56,039 --> 00:24:02,679",this in uh this increase in in oral size
570,"00:23:59,880 --> 00:24:05,120",usually does not result in relatively
571,"00:24:02,679 --> 00:24:07,880",more yeah so it either makes our model
572,"00:24:05,120 --> 00:24:11,080",better or we Flatline but we will not
573,"00:24:07,880 --> 00:24:13,640",become worse this can actually sometimes
574,"00:24:11,080 --> 00:24:15,880",still happen it's quite unusual if you
575,"00:24:13,640 --> 00:24:19,200",want to look into the details there's a
576,"00:24:15,880 --> 00:24:22,240",paper here by yeah Philip HS and
577,"00:24:19,200 --> 00:24:24,960",anoles so colleagues of mine who looked
578,"00:24:22,240 --> 00:24:27,559",at this a bit more in detail and and
579,"00:24:24,960 --> 00:24:30,880",then published this in in jlr these are
580,"00:24:27,559 --> 00:24:32,960",I would say really usual scenarios or
581,"00:24:30,880 --> 00:24:35,080",not very common ones so usually what
582,"00:24:32,960 --> 00:24:37,760",happens is something like this here yeah
583,"00:24:35,080 --> 00:24:40,039",we're increasing the number of trees
584,"00:24:37,760 --> 00:24:42,240",yeah just doesn't help us a lot after
585,"00:24:40,039 --> 00:24:44,120",some point yeah so we Flatline we'll
586,"00:24:42,240 --> 00:24:46,880",still stand spend more computation time
587,"00:24:44,120 --> 00:24:48,679",for this and but we will not yeah will
588,"00:24:46,880 --> 00:24:50,760",will not really begin to over fet so
589,"00:24:48,679 --> 00:24:54,760",it's not really this usual U-shaped
590,"00:24:50,760 --> 00:24:57,360",curve we see when we and we might
591,"00:24:54,760 --> 00:24:59,760",increase complexity of our model the
592,"00:24:57,360 --> 00:25:01,080",thing is I guess it's debatable and
593,"00:24:59,760 --> 00:25:03,159",whether we really increasing the
594,"00:25:01,080 --> 00:25:04,679",complexity of a model by increasing the
595,"00:25:03,159 --> 00:25:07,039",number of trees because the we not
596,"00:25:04,679 --> 00:25:09,640",really running something like a boosting
597,"00:25:07,039 --> 00:25:11,960",algorithm here or some some iterative
598,"00:25:09,640 --> 00:25:14,559",optimization when we add in more trees
599,"00:25:11,960 --> 00:25:16,880",we're just adding in a further
600,"00:25:14,559 --> 00:25:18,559",randomized Ensemble member and then just
601,"00:25:16,880 --> 00:25:20,440",averaging out over things so we
602,"00:25:18,559 --> 00:25:23,720",optimizing with respect to what's
603,"00:25:20,440 --> 00:25:25,840",already there and aggressively reducing
604,"00:25:23,720 --> 00:25:27,919",our loss yeah also if you think about
605,"00:25:25,840 --> 00:25:30,039",the the algorithm of the random forest
606,"00:25:27,919 --> 00:25:32,480",and and lagging in general the loss
607,"00:25:30,039 --> 00:25:33,880",function is not really an input to that
608,"00:25:32,480 --> 00:25:35,720",now so that's an input to the base
609,"00:25:33,880 --> 00:25:39,240",learning algorithm we just do the
610,"00:25:35,720 --> 00:25:39,240",averaging and we just do the variance
611,"00:25:39,440 --> 00:25:44,880",reduction yeah guess final slides so
612,"00:25:42,480 --> 00:25:47,880",here's one further example we looked at
613,"00:25:44,880 --> 00:25:50,399",this before so we looked at bagging for
614,"00:25:47,880 --> 00:25:53,640",logistic regression what effect that has
615,"00:25:50,399 --> 00:25:55,559",and for K&N and for the card algorithm
616,"00:25:53,640 --> 00:25:59,000",and here is now the random Forest so
617,"00:25:55,559 --> 00:26:01,279",that's the bagging but
618,"00:25:59,000 --> 00:26:03,320",enhanced with all of this all of the
619,"00:26:01,279 --> 00:26:05,640",things I explained here in this in this
620,"00:26:03,320 --> 00:26:08,000",session so the simple randomization plus
621,"00:26:05,640 --> 00:26:11,399",the full expansion and that actually
622,"00:26:08,000 --> 00:26:13,399",works drastically better here on this
623,"00:26:11,399 --> 00:26:16,600",what is it ah it's again the spend data
624,"00:26:13,399 --> 00:26:20,240",set okay so here you can really see the
625,"00:26:16,600 --> 00:26:22,440",usual quite nice quite good performance
626,"00:26:20,240 --> 00:26:25,279",of the random forest in action yeah and
627,"00:26:22,440 --> 00:26:28,919",we took good care that the orals are all
628,"00:26:25,279 --> 00:26:30,799",of of the same size so it again is 100
629,"00:26:28,919 --> 00:26:33,720",base learners for all of the begging or
630,"00:26:30,799 --> 00:26:37,399",SS but also for the random
631,"00:26:33,720 --> 00:26:39,600",Forest short summary I'll do that very
632,"00:26:37,399 --> 00:26:42,039",briefly because we I guess we did that
633,"00:26:39,600 --> 00:26:44,520",quite well in the session so most
634,"00:26:42,039 --> 00:26:46,120",advantages of the trees they inherited
635,"00:26:44,520 --> 00:26:49,080",into the random Forest so we don't have
636,"00:26:46,120 --> 00:26:51,200",to do that much tree um pre-processing
637,"00:26:49,080 --> 00:26:52,880",because it's a tree based Ensemble the
638,"00:26:51,200 --> 00:26:55,200",algorithm is actually fairly easy to
639,"00:26:52,880 --> 00:26:57,520",paralyze we didn't discuss that but that
640,"00:26:55,200 --> 00:26:59,760",should be obvious it's a loop over
641,"00:26:57,520 --> 00:27:02,720",independent thing things the bagging
642,"00:26:59,760 --> 00:27:05,679",also so we can easily distribute this to
643,"00:27:02,720 --> 00:27:09,080",multiple multiple CPUs to multiple cores
644,"00:27:05,679 --> 00:27:12,279",it really often works well enough so if
645,"00:27:09,080 --> 00:27:14,919",you do a reasonable approach for a given
646,"00:27:12,279 --> 00:27:16,679",data set where you would maybe start
647,"00:27:14,919 --> 00:27:20,399",with fairly simple models so maybe
648,"00:27:16,679 --> 00:27:22,399",linear models maybe trees maybe Gams and
649,"00:27:20,399 --> 00:27:24,279",they don't work well enough and you're a
650,"00:27:22,399 --> 00:27:25,880",little bit unhappy about that because
651,"00:27:24,279 --> 00:27:27,840",you would like to actually use an
652,"00:27:25,880 --> 00:27:30,960",interpal model here on that task but the
653,"00:27:27,840 --> 00:27:32,520",model are not yeah not good enough and
654,"00:27:30,960 --> 00:27:35,240",you also do care a lot about productive
655,"00:27:32,520 --> 00:27:37,440",performance I guess my next try would
656,"00:27:35,240 --> 00:27:40,360",usually always be random Forest because
657,"00:27:37,440 --> 00:27:44,039",they very often perform fairly well and
658,"00:27:40,360 --> 00:27:47,519",you can often get away either without
659,"00:27:44,039 --> 00:27:49,720",hyper tuning at all or you can do fairly
660,"00:27:47,519 --> 00:27:52,039",simple not too expensive not too
661,"00:27:49,720 --> 00:27:55,360",complicated hyper tuning maybe just of M
662,"00:27:52,039 --> 00:27:56,440",dry May yeah maybe just of M try they
663,"00:27:55,360 --> 00:27:57,720",often work quite well on high
664,"00:27:56,440 --> 00:28:00,600",dimensional data so there are many
665,"00:27:57,720 --> 00:28:02,960",people biostats bioinformatics I don't
666,"00:28:00,600 --> 00:28:04,960",know with maybe I don't know Gene data
667,"00:28:02,960 --> 00:28:07,480",or something like that they like using
668,"00:28:04,960 --> 00:28:09,919",random force in these domains as well
669,"00:28:07,480 --> 00:28:12,960",and can also work quite well in
670,"00:28:09,919 --> 00:28:15,600",scenarios with higher noise they do have
671,"00:28:12,960 --> 00:28:17,960",some disadvantages so though they have
672,"00:28:15,600 --> 00:28:20,039",the same extrapolation problem as for
673,"00:28:17,960 --> 00:28:21,960",trees so trees I don't know in
674,"00:28:20,039 --> 00:28:24,799",regression it might look like that
675,"00:28:21,960 --> 00:28:26,679",actually not look like that I don't know
676,"00:28:24,799 --> 00:28:28,440",and that at some point we can't really
677,"00:28:26,679 --> 00:28:30,760",extrapolate very nicely from the this if
678,"00:28:28,440 --> 00:28:33,559",our data ends here right so just
679,"00:28:30,760 --> 00:28:35,840",continue this flat production Behavior
680,"00:28:33,559 --> 00:28:39,000",they are obviously harder to interpret
681,"00:28:35,840 --> 00:28:40,880",than trees so many extra tools are
682,"00:28:39,000 --> 00:28:43,120",nowadays available for interpreting
683,"00:28:40,880 --> 00:28:45,080",random Forest um so there are things
684,"00:28:43,120 --> 00:28:46,720",like feature importance techniques that
685,"00:28:45,080 --> 00:28:48,399",have been actually many of the things
686,"00:28:46,720 --> 00:28:50,200",many of these model agnostic techniques
687,"00:28:48,399 --> 00:28:52,519",that we nowadays like to look at in
688,"00:28:50,200 --> 00:28:54,240",interpal machine learning and in a I
689,"00:28:52,519 --> 00:28:56,360",very many qu quite a few of them have
690,"00:28:54,240 --> 00:28:58,240",actually been developed specifically in
691,"00:28:56,360 --> 00:29:01,080",the context of the renom forest or for
692,"00:28:58,240 --> 00:29:03,159",the random forest and then sometimes the
693,"00:29:01,080 --> 00:29:04,399",implementations can be somewhat memory
694,"00:29:03,159 --> 00:29:06,799",hungry because you're creating an
695,"00:29:04,399 --> 00:29:09,399",assemble over trees and you might be a
696,"00:29:06,799 --> 00:29:12,159",little bit unhappy about I don't know
697,"00:29:09,399 --> 00:29:13,720",prediction time because if you predict
698,"00:29:12,159 --> 00:29:16,080",an observation you have to push it
699,"00:29:13,720 --> 00:29:20,799",through that complete Ensemble
700,"00:29:16,080 --> 00:29:23,880",for not super large scale data sets in
701,"00:29:20,799 --> 00:29:25,799",in training or in production so if you
702,"00:29:23,880 --> 00:29:28,120",usually this is not an issue yeah so for
703,"00:29:25,799 --> 00:29:29,880",for many many many I would say fairly
704,"00:29:28,120 --> 00:29:31,240",realistic and normal data sets that
705,"00:29:29,880 --> 00:29:34,440",that's not an issue if you're creating
706,"00:29:31,240 --> 00:29:36,679","an assemble of I don't know 50,000 trees"
707,"00:29:34,440 --> 00:29:38,600",and you have to stream in prediction
708,"00:29:36,679 --> 00:29:40,880",over a super large
709,"00:29:38,600 --> 00:29:42,640",database maybe you want to worry of that
710,"00:29:40,880 --> 00:29:45,880",about that a bit but for many
711,"00:29:42,640 --> 00:29:47,399",applications this is not an issue okay I
712,"00:29:45,880 --> 00:29:49,360",hope this session was not too long and
713,"00:29:47,399 --> 00:29:51,159",you could still uh follow along nicely
714,"00:29:49,360 --> 00:29:53,080",this concludes our session on the random
715,"00:29:51,159 --> 00:29:55,440",Forest algorithm here see you in the
