index,time_range,text,google_translate,claude_translation,link
92,06:17 -> 06:17,Isn't that cool?,Արդյոք դա զով չէ:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
93,06:18 -> 06:23,"It's common to package these coordinates into a 2x2 grid of numbers called a 2x2 matrix,","Սովորական է փաթեթավորել այս կոորդինատները 2x2 Matrix կոչվող համարների 2x2 ցանցի մեջ,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
94,06:23 -> 06:27,where you can interpret the columns as the two special vectors,որտեղ կարող եք մեկնաբանել սյուները որպես երկու հատուկ վեկտոր,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
95,06:27 -> 06:29,where i-hat and j-hat each land.,որտեղ ես-գլխարկ եւ J-HAT յուրաքանչյուր երկիր:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
96,06:30 -> 06:35,"If you're given a 2x2 matrix describing a linear transformation and some specific vector,","Եթե ​​ձեզ տրվում է 2x2 մատրից, որը նկարագրում է գծային վերափոխումը եւ որոշակի որոշակի վեկտոր,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
97,06:35 -> 06:39,"and you want to know where that linear transformation takes that vector,","Եվ դուք ուզում եք իմանալ, թե որտեղ է այդ գծային վերափոխումը տեւում այդ վեկտորը,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
98,06:39 -> 06:44,"you can take the coordinates of the vector, multiply them by the corresponding","Դուք կարող եք վերցնել վեկտորի կոորդինատները, դրանք բազմապատկել համապատասխան",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
99,06:44 -> 06:47,"columns of the matrix, then add together what you get.","Matrix- ի սյուները, ապա միասին ավելացրեք ձեր ստացածը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
100,06:48 -> 06:52,This corresponds with the idea of adding the scaled versions of our new basis vectors.,Սա համապատասխանում է մեր նոր հիմքերի վեկտորների մասշտաբային տարբերակները ավելացնելու գաղափարին:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
101,06:54 -> 06:58,"Let's see what this looks like in the most general case,","Տեսնենք, թե որն է դա ամենատարածված գործի մեջ,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
102,06:58 -> 07:00,"where your matrix has entries A, B, C, D.","Որտեղ ձեր մատրիցը ունի գրառում A, B, C, D.",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
103,07:01 -> 07:03,"And remember, this matrix is just a way of packaging the","Եվ հիշեք, այս մատրիցը պարզապես փաթեթավորման միջոց է",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
104,07:03 -> 07:06,information needed to describe a linear transformation.,Գծային վերափոխում նկարագրելու համար անհրաժեշտ տեղեկատվություն:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
105,07:06 -> 07:09,"Always remember to interpret that first column, AC,","Միշտ հիշեք, որ մեկնաբանում է այդ առաջին սյունը, AC,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
106,07:09 -> 07:13,"as the place where the first basis vector lands, and that second column, BD,","Որպես տեղ, որտեղ առաջին հիմքը վեկտորային հողերը, եւ այդ երկրորդ սյունը, BD,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
107,07:13 -> 07:16,as the place where the second basis vector lands.,"որպես տեղ, որտեղ երկրորդ հիմքը վեկտորային հողերը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
108,07:17 -> 07:21,"When we apply this transformation to some vector xy, what do you get?","Երբ մենք օգտագործում ենք այս վերափոխումը որոշ վեկտոր XY- ին, ինչ եք ստանում:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
109,07:22 -> 07:26,"Well, it'll be x times AC plus y times BD.","Դե, դա կլինի X Times AC Plus Y Times BD:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
110,07:28 -> 07:33,"Putting this together, you get a vector Ax plus By, Cx plus Dy.","Այս միասին դնելը, դուք ստանում եք վեկտոր կացին գումարած, CX Plus DY- ն:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
111,07:33 -> 07:37,"You could even define this as matrix vector multiplication,","Դուք նույնիսկ կարող եք դա սահմանել որպես Matrix վեկտորի բազմապատկում,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
112,07:37 -> 07:40,when you put the matrix on the left of the vector like it's a function.,"Երբ մատրիցը դնում եք վեկտորի ձախ կողմում, ինչպես դա գործառույթ է:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
113,07:41 -> 07:44,"Then, you could make high schoolers memorize this without","Հետո, դուք կարող եք բարձրադասական դպրոցներ դարձնել անգիր դա առանց",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
114,07:44 -> 07:46,showing them the crucial part that makes it feel intuitive.,"Նրանց ցույց տալով այն վճռական մասը, որը դարձնում է ինտուիտիվ զգալ:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
115,07:48 -> 07:51,"But, isn't it more fun to think about these columns as the","Բայց, ավելի հաճելի չէ այս սյուների մասին մտածելը որպես",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
116,07:51 -> 07:54,"transformed versions of your basis vectors, and to think about",վերափոխել ձեր հիմքի վեկտորների տարբերակները եւ մտածել դրա մասին,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
117,07:54 -> 07:57,the result as the appropriate linear combination of those vectors?,"Արդյունքը, որպես այդ վեկտորների համապատասխան գծային համադրություն:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
118,08:00 -> 08:03,Let's practice describing a few linear transformations with matrices.,Եկեք մարզվենք նկարագրելով մի քանի գծային վերափոխումներ `մատրիցներով:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
119,08:04 -> 08:09,"For example, if we rotate all of space 90 degrees counterclockwise,","Օրինակ, եթե մենք պտտվում ենք ամբողջ տարածքը 90 աստիճանի հակառակ ուղղությամբ,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
120,08:09 -> 08:12,"then i-hat lands on the coordinates 0, 1.","Այնուհետեւ i-hat հողերը համակարգում են 0, 1:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
121,08:13 -> 08:17,"And j-hat lands on the coordinates negative 1, 0.","Եւ j-hat հողերը կոորդինատների վրա բացասական 1, 0:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
122,08:17 -> 08:21,"So the matrix we end up with has columns 0, 1, negative 1, 0.","Այսպիսով, Matrix- ը, որի հետ մենք ավարտվում ենք, ունի սյուներ 0, 1, բացասական 1, 0:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
123,08:22 -> 08:26,"To figure out what happens to any vector after a 90-degree rotation,","Պարզել, թե ինչ է տեղի ունենում 90 աստիճանի ռոտացիայից հետո ցանկացած վեկտորի հետ,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
124,08:26 -> 08:29,you could just multiply its coordinates by this matrix.,Դուք պարզապես կարող եք բազմապատկել դրա կոորդինատները այս մատրիցով:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
125,08:31 -> 08:34,"Here's a fun transformation with a special name, called a shear.","Ահա մի զվարճալի վերափոխում հատուկ անունով, որը կոչվում է կտրվածք:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
126,08:35 -> 08:39,"In it, i-hat remains fixed, so the first column of the matrix is 1, 0.","Դրանում ես, գլխարկը մնում է ֆիքսված, այնպես որ մատրիցայի առաջին սյունը 1, 0 է:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
127,08:39 -> 08:42,"But j-hat moves over to the coordinates 1, 1,","Բայց J-HAT- ը տեղափոխվում է 1, 1, 1, 1,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
128,08:42 -> 08:45,which become the second column of the matrix.,որոնք դառնում են մատրիցայի երկրորդ սյունը:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
129,08:45 -> 08:49,"And at the risk of being redundant here, figuring out how a shear transforms","Եւ այստեղ ավելորդ լինելու ռիսկի հետեւանքով պարզելով, թե ինչպես է կտրուկ վերափոխվում",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
130,08:49 -> 08:54,a given vector comes down to multiplying this matrix by that vector.,Այս վեկտորի կողմից այս մատրիցը բազմապատկելու համար տվյալ վեկտորը իջնում ​​է:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
131,08:55 -> 08:59,"Let's say we want to go the other way around, starting with a matrix,","Եկեք ասենք, որ մենք ուզում ենք շրջել մյուս ճանապարհը, սկսած մատրիցից,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
132,08:59 -> 09:04,"say with columns 1, 2 and 3, 1, and we want to deduce what its transformation looks like.","Ասեք 1, 2 եւ 3, 1 սյուներով, եւ մենք ուզում ենք եզրակացնել, թե ինչպիսին է դրա վերափոխումը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
133,09:04 -> 09:07,Pause and take a moment to see if you can imagine it.,"Դադարեցրեք եւ մի պահ տեսնեք, արդյոք դուք կարող եք պատկերացնել այն:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
134,09:08 -> 09:15,"One way to do this is to first move i-hat to 1, 2, then move j-hat to 3, 1.","Դա անելու մեկ եղանակ է առաջին հերթին i-hat- ը տեղափոխել 1, 2, այնուհետեւ J-HAD- ը տեղափոխել 3, 1:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
135,09:15 -> 09:17,Always moving the rest of space in such a way,Միշտ մնացած տարածքը նման ձեւով տեղափոխելով,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
136,09:17 -> 09:20,that keeps gridlines parallel and evenly spaced.,որը պահում է gridlines զուգահեռ եւ հավասարաչափ տարածված:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
137,09:21 -> 09:26,"If the vectors that i-hat and j-hat land on are linearly dependent, which,","Եթե ​​վեկտորները, որոնք i-hat and j-hat Land On On- ը, գծայինորեն կախված են, ինչը",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
138,09:26 -> 09:31,"if you recall from last video, means that one is a scaled version of the other,","Եթե ​​հիշում եք վերջին տեսանյութից, նշանակում է, որ մեկը մյուսի մասշտաբային տարբերակն է,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
139,09:31 -> 09:36,it means that the linear transformation squishes all of 2D space onto the line where,"Դա նշանակում է, որ գծային վերափոխումը ջախջախում է բոլոր 2D տարածքը այն գծի վրա, որտեղ",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
140,09:36 -> 09:41,"those two vectors sit, also known as the one-dimensional span of those two linearly","Այդ երկու վեկտորները նստում են, ինչպես նաեւ հայտնի են որպես այդ երկու գծային միակողմանի տող",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
141,09:41 -> 09:42,dependent vectors.,Կախված վեկտորներ:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
142,09:44 -> 09:48,"To sum up, linear transformations are a way to move around space such that",Ամփոփելու համար գծային վերափոխումները տեղ են տվել այդպիսի տարածության մեջ,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
143,09:48 -> 09:53,"gridlines remain parallel and evenly spaced, and such that the origin remains fixed.","Gridlines- ը մնում է զուգահեռ եւ հավասարաչափ տարածված, եւ այնպիսի ծագումը, որ ծագում է ֆիքսված:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
144,09:54 -> 09:58,"Delightfully, these transformations can be described using only a handful of numbers,","Ուրախալիորեն, այս վերափոխումները կարելի է նկարագրել օգտագործելով միայն մի բուռ թվեր,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
145,09:58 -> 10:01,the coordinates of where each basis vector lands.,"այն կոորդինատները, որտեղ յուրաքանչյուր հիմքի վեկտորային հողեր:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
146,10:02 -> 10:06,"Matrices give us a language to describe these transformations,","Մատրիցսը մեզ լեզու է տալիս այս վերափոխումները նկարագրելու համար,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
147,10:06 -> 10:08,"where the columns represent those coordinates,","որտեղ սյուները ներկայացնում են այդ կոորդինատները,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
148,10:08 -> 10:12,and matrix-vector multiplication is just a way to compute what that,"իսկ մատրիցա-վեկտորի բազմապատկումը պարզապես միջոց է այն բանի համար, որ դա է",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
149,10:12 -> 10:14,transformation does to a given vector.,Փոխակերպումը վերաբերում է տվյալ վեկտորի:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
150,10:15 -> 10:18,"The important takeaway here is that every time you see a matrix,","Այստեղ կարեւոր Takeaway- ն այն է, որ ամեն անգամ մատրիցա տեսնելիս",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
151,10:18 -> 10:21,you can interpret it as a certain transformation of space.,Դուք կարող եք դա մեկնաբանել որպես տարածության որոշակի վերափոխում:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
152,10:22 -> 10:24,"Once you really digest this idea, you're in a","Երբ իսկապես մարսես այս գաղափարը, դու ա",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
153,10:24 -> 10:27,great position to understand linear algebra deeply.,Հիանալի դիրքորոշում `գծային հանրահաշիվը խորը հասկանալու համար:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
154,10:27 -> 10:32,"Almost all of the topics coming up, from matrix multiplication to determinants,","Գրեթե բոլոր թեմաները, որոնք գալիս են Matrix- ի բազմապատկում որոշիչներին,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
155,10:32 -> 10:36,"change of basis, eigenvalues, all of these will become easier to understand","Հիմքի փոփոխություն, eigenvalues, այս բոլորը ավելի հեշտ կդառնան հասկանալ",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
156,10:36 -> 10:40,once you start thinking about matrices as transformations of space.,"Երբ սկսեք մտածել մատրիցաների մասին, որպես տարածության վերափոխումներ:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
157,10:41 -> 10:43,"Most immediately, in the next video, I'll be talking about","Անմիջապես հետո, հաջորդ տեսանյութում ես կխոսեմ",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
